CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
ABARTH,695 75,BLK,2024,3
ABARTH,695 CO,WHI,2024,2
ACE   ,AL350 ,YLW,2024,1
ACHTNG,VOLKSW,SIL,2024,1
ACHTNG,VOLKSW,WHI,2024,2
AGRIA ,TW-16 ,GRN,2024,1
AGRIFC,CONDOR,RED,2024,1
AGRIFC,ENDUR ,RED,2024,1
AJP   ,PR7   ,WHI,2023,1
ALFA R,GIULIA,BLU,2024,1
ALFA R,GIULIA,RED,2024,1
ALFA R,GIULIA,WHI,2024,2
ALFA R,STELVI,GRN,2024,1
ALFA R,STELVI,WHI,2024,1
ALFA R,TONALE,BLK,2024,1
ALFA R,TONALE,BLU,2023,1
ALFA R,TONALE,RED,2024,2
AMMANN,ARS130,GRN,2024,5
AMMANN,ARS150,GRN,2024,3
APRILI,RS 660,BLK,2024,1
APRILI,TUO660,BLK,2024,1
APRILI,XC660 ,BLK,2024,1
ASTON ,DBX 70,BLU,2024,1
ASTON ,DBX 70,GRN,2024,1
ASTON ,DBX 70,PUR,2024,1
AUDI  ,      ,WHI,2023,1
AUDI  ,A1    ,WHI,2024,2
AUDI  ,A3    ,BLK,2024,6
AUDI  ,A3    ,BLU,2024,1
AUDI  ,A3    ,GRY,2024,1
AUDI  ,A3    ,SIL,2024,1
AUDI  ,A3    ,WHI,2024,3
AUDI  ,A4    ,BLK,2024,2
AUDI  ,A4    ,GRY,2024,2
AUDI  ,A4    ,WHI,2024,1
AUDI  ,A5    ,BLK,2024,2
AUDI  ,A5    ,GRY,2024,1
AUDI  ,A5    ,WHI,2024,1
AUDI  ,Q2    ,BLK,2024,18
AUDI  ,Q2    ,BLU,2024,1
AUDI  ,Q2    ,GRY,2024,13
AUDI  ,Q2    ,RED,2024,1
AUDI  ,Q2    ,SIL,2024,2
AUDI  ,Q2    ,WHI,2024,10
AUDI  ,Q3    ,BLK,2024,8
AUDI  ,Q3    ,BLU,2024,3
AUDI  ,Q3    ,GRY,2024,8
AUDI  ,Q3    ,RED,2024,1
AUDI  ,Q3    ,SIL,2024,1
AUDI  ,Q3    ,WHI,2024,16
AUDI  ,Q5    ,BLK,2024,14
AUDI  ,Q5    ,BLU,2024,2
AUDI  ,Q5    ,GRN,2024,1
AUDI  ,Q5    ,GRY,2024,7
AUDI  ,Q5    ,SIL,2024,4
AUDI  ,Q5    ,WHI,2024,12
AUDI  ,Q7    ,BLK,2024,4
AUDI  ,Q7    ,GRY,2024,7
AUDI  ,Q7    ,WHI,2024,5
AUDI  ,Q8    ,BLK,2024,1
AUDI  ,Q8 ETR,WHI,2024,1
AUDI  ,RS3   ,BLK,2024,3
AUDI  ,RS3   ,GRN,2024,3
AUDI  ,RS3   ,GRY,2024,3
AUDI  ,RS3   ,WHI,2024,3
AUDI  ,RS4   ,BLK,2024,2
AUDI  ,RS4   ,GRY,2024,1
AUDI  ,RS5   ,BLK,2024,1
AUDI  ,RS5   ,GRY,2024,1
AUDI  ,RS6   ,BLK,2024,4
AUDI  ,RS6   ,BLU,2024,1
AUDI  ,RS6   ,GRY,2024,1
AUDI  ,RS6 AV,BLK,2024,2
AUDI  ,RSQ3  ,BLK,2024,6
AUDI  ,RSQ3  ,GRY,2024,4
AUDI  ,RSQ3  ,WHI,2024,1
AUDI  ,RSQ8  ,BLK,2024,1
