CD_MAKE_VEH1,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL1
AUDI  ,      ,WHI,2023,1
B M W ,      ,GRY,2012,2
B M W ,      ,SIL,2012,1
B M W ,      ,WHI,2012,1
B M W ,      ,SIL,2013,1
B M W ,      ,GRY,2014,1
B M W ,      ,BLK,2015,1
B M W ,      ,WHI,2015,1
B M W ,      ,BLK,2016,1
B M W ,      ,WHI,2016,6
B M W ,      ,BLU,2019,1
CAN AM,      ,SIL,2018,1
CAN AM,      ,BLK,2021,1
CASE  ,      ,OGE,1900,1
CASE  ,      ,WHI,1980,1
CATPLR,      ,YLW,1900,2
CFMOTO,      ,BRN,2024,1
CFMOTO,      ,GRN,2024,2
CHAMB ,      ,BLK,1975,1
CHEV  ,      ,BLU,1939,1
CHEV  ,      ,GRY,1959,1
CHRYS ,      ,GRY,1968,1
CROWN ,      ,GRY,2024,1
D BRN ,      ,WHI,1974,1
DEUTZ ,      ,GRN,1981,1
DODGE ,      ,RED,1936,1
DODGE ,      ,WHI,1965,1
F LINE,      ,WHI,2010,1
FERG  ,      ,RED,1959,1
FIAT  ,      ,OGE,1975,1
FORD  ,      ,YLW,1967,1
FORD  ,      ,WHI,1969,1
FORD  ,      ,BRN,1977,1
FORD  ,      ,YLW,1979,1
FORD  ,      ,BLU,1981,1
FORD  ,      ,WHI,1985,1
FORD  ,      ,BLU,1987,1
FORD  ,      ,WHI,1991,1
FORD  ,      ,BLU,2008,1
FORD  ,      ,SIL,2008,1
FORD  ,      ,WHI,2008,1
FORD  ,      ,BLK,2009,1
FORD  ,      ,GRN,2009,1
FORD  ,      ,SIL,2009,1
FORD  ,      ,BLK,2010,3
FORD  ,      ,BLU,2010,3
FORD  ,      ,GRN,2010,2
FORD  ,      ,RED,2010,1
FORD  ,      ,SIL,2010,1
FORD  ,      ,WHI,2010,1
FORD  ,      ,BLK,2011,1
FORD  ,      ,BLU,2011,1
FORD  ,      ,GRY,2011,1
FORD  ,      ,OGE,2011,1
FORD  ,      ,SIL,2011,3
FORD  ,      ,BLU,2012,2
FORD  ,      ,GRN,2012,1
FORD  ,      ,SIL,2012,1
FORD  ,      ,WHI,2012,3
FORD  ,      ,GLD,2013,1
FORD  ,      ,GRY,2013,1
FORD  ,      ,SIL,2013,2
FORD  ,      ,WHI,2013,1
FORD  ,      ,BLK,2015,1
FORD  ,      ,WHI,2016,2
G WALL,      ,WHI,2010,1
G WALL,      ,WHI,2012,1
HARDI ,      ,RED,2018,1
HIGER ,      ,WHI,2013,1
HINO  ,      ,WHI,1993,1
HINO  ,      ,WHI,2008,1
HINO  ,      ,WHI,2024,1
HOLDEN,      ,GLD,1973,1
HOLDEN,      ,WHI,1973,1
HOLDEN,      ,WHI,1974,1
HOLDEN,      ,GRN,1975,1
HOLDEN,      ,BLU,1978,1
HOLDEN,      ,WHI,1978,1
HOLDEN,      ,BLU,1979,1
HOLDEN,      ,WHI,1979,1
HOLDEN,      ,OGE,1981,1
HOLDEN,      ,BRN,1985,1
HOLDEN,      ,BLK,2004,1
HOLDEN,      ,RED,2004,1
HOLDEN,      ,GRY,2005,1
HOLDEN,      ,RED,2005,1
HOLDEN,      ,GRN,2006,1
HOLDEN,      ,PUR,2007,1
HOLDEN,      ,RED,2008,1
HOLDEN,      ,BLK,2011,2
HOLDEN,      ,WHI,2012,2
HOLDEN,      ,BLU,2013,1
HOLDEN,      ,RED,2016,1
HONDA ,      ,SIL,2009,1
HONDA ,      ,BLK,2014,1
HONDA ,      ,RED,2018,1
HYDREM,      ,YLW,2021,1
HYNDAI,      ,BLK,2009,1
HYNDAI,      ,BLK,2010,1
HYNDAI,      ,BLU,2010,1
HYNDAI,      ,RED,2010,2
HYNDAI,      ,SIL,2010,1
HYNDAI,      ,WHI,2010,3
HYNDAI,      ,YLW,2010,2
HYNDAI,      ,BLK,2013,2
HYNDAI,      ,SIL,2013,2
HYNDAI,      ,WHI,2013,1
HYNDAI,      ,BLK,2014,3
HYNDAI,      ,BLU,2014,2
HYNDAI,      ,GRY,2014,2
HYNDAI,      ,PUR,2014,3
HYNDAI,      ,RED,2014,1
HYNDAI,      ,SIL,2014,2
HYNDAI,      ,WHI,2014,2
HYNDAI,      ,YLW,2014,1
INTERN,      ,RED,1979,1
ISUZU ,      ,WHI,1978,1
ISUZU ,      ,WHI,1981,1
ISUZU ,      ,RED,1985,1
ISUZU ,      ,WHI,1987,1
ISUZU ,      ,WHI,2000,1
ISUZU ,      ,GRY,2024,1
IVECO ,      ,WHI,2005,1
J C B ,      ,YLW,2024,1
J DEER,      ,GRN,1900,1
J DEER,      ,YLW,1972,1
J DEER,      ,GRN,1984,2
J DEER,      ,GRN,1987,2
J DEER,      ,GRN,1989,1
JAGUAR,      ,WHI,1976,1
JAGUAR,      ,GLD,2002,1
JEEP  ,      ,BLK,2010,1
JEEP  ,      ,RED,2010,1
JEEP  ,      ,GRY,2013,2
JEEP  ,      ,BLU,2014,1
JEEP  ,      ,GRY,2014,1
JEEP  ,      ,SIL,2018,1
KIA   ,      ,SIL,2004,1
KIA   ,      ,BLK,2007,2
KIA   ,      ,BLU,2007,1
KIA   ,      ,GRN,2007,1
KIA   ,      ,WHI,2009,1
KIA   ,      ,BRN,2016,1
KIA   ,      ,SIL,2016,1
KUBOTA,      ,OGE,2024,2
LEXUS ,      ,SIL,2007,2
LEXUS ,      ,BLK,2011,2
LEXUS ,      ,GRY,2011,1
LEXUS ,      ,WHI,2011,1
LEXUS ,      ,WHI,2012,1
LEXUS ,      ,BLU,2013,2
LEXUS ,      ,SIL,2014,1
LEXUS ,      ,WHI,2015,1
LEY   ,      ,BLU,1978,1
LEY   ,      ,BLU,1980,1
LEY   ,      ,BLU,1981,1
M G   ,      ,BLK,1965,1
MACDON,      ,RED,1900,1
MACK  ,      ,WHI,2003,1
MASS F,      ,RED,1983,1
MAZDA ,      ,BLK,2007,1
MAZDA ,      ,RED,2007,1
MAZDA ,      ,SIL,2011,2
MAZDA ,      ,WHI,2014,1
MAZDA ,      ,SIL,2015,1
MAZDA ,      ,RED,2016,1
MAZDA ,      ,WHI,2016,2
MERC B,      ,OGE,1978,1
MERC B,      ,WHI,1981,2
MERC B,      ,BLU,1983,1
MERC B,      ,SIL,1987,1
MERC B,      ,WHI,2007,1
MERC B,      ,SIL,2008,1
MERC B,      ,WHI,2011,1
MITSUB,      ,GLD,1986,1
MITSUB,      ,BLU,1988,1
MITSUB,      ,WHI,1995,1
MITSUB,      ,BLK,2006,1
MITSUB,      ,BLU,2007,1
MITSUB,      ,RED,2007,2
MITSUB,      ,SIL,2011,1
MITSUB,      ,GRN,2012,1
MITSUB,      ,WHI,2012,1
MITSUB,      ,GRY,2014,1
NISSAN,      ,WHI,1984,1
NISSAN,      ,WHI,1988,1
NISSAN,      ,BLU,1989,1
NISSAN,      ,GLD,1998,1
NISSAN,      ,WHI,1999,1
NISSAN,      ,OGE,2002,1
NISSAN,      ,SIL,2002,1
NISSAN,      ,GLD,2007,1
NISSAN,      ,GRY,2007,7
NISSAN,      ,SIL,2007,1
NISSAN,      ,WHI,2008,3
NISSAN,      ,BLK,2009,1
NISSAN,      ,BLU,2014,1
NISSAN,      ,BLK,2015,1
NISSAN,      ,WHI,2016,1
REN   ,      ,WHI,2018,1
RILEY ,      ,BLK,1946,1
SCANIA,      ,RED,1999,1
SUBARU,      ,BRN,1987,1
SUBARU,      ,WHI,2003,1
SUBARU,      ,SIL,2008,3
SUBARU,      ,WHI,2008,1
SUBARU,      ,WHI,2010,1
SUBARU,      ,GRY,2011,2
SUBARU,      ,WHI,2011,1
SUBARU,      ,BLK,2012,2
SUBARU,      ,GRY,2012,1
SUBARU,      ,GRY,2014,1
SUBARU,      ,BLU,2016,2
SUZUKI,      ,BLU,2008,1
SUZUKI,      ,RED,2010,1
SUZUKI,      ,BLU,2011,1
SUZUKI,      ,BLU,2013,2
TOYOTA,      ,YLW,1978,1
TOYOTA,      ,YLW,1979,1
TOYOTA,      ,YLW,1981,1
TOYOTA,      ,WHI,1984,2
TOYOTA,      ,FWN,1985,1
TOYOTA,      ,WHI,1985,1
TOYOTA,      ,CRM,1987,1
TOYOTA,      ,BLU,1988,1
TOYOTA,      ,RED,1988,1
