Business_Date,Day_of_Week,Day_Type,Mode,Train_Number,Line_Name,Group,Direction,Origin_Station,Destination_Station,Station_Name,Station_Latitude,Station_Longitude,Station_Chainage,Stop_Sequence_Number,Arrival_Time_Scheduled,Departure_Time_Scheduled,Passenger_Boardings,Passenger_Alightings,Passenger_Arrival_Load,Passenger_Departure_Load
2024-06-01,Saturday,Saturday,Metro,6001,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,06:20:00,06:20:00,0,0,0,0
2024-06-01,Saturday,Saturday,Metro,6003,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,07:10:00,07:10:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6005,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,07:50:00,07:50:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6007,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,08:32:00,08:32:00,0,30,30,0
2024-06-01,Saturday,Saturday,Metro,6009,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,09:10:00,09:10:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6011,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,09:50:00,09:50:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6013,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,10:30:00,10:30:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6015,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,11:11:00,11:11:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6017,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,11:51:00,11:51:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6019,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,12:31:00,12:31:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6021,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,13:11:00,13:11:00,0,30,30,0
2024-06-01,Saturday,Saturday,Metro,6023,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,13:51:00,13:51:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6025,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,14:31:00,14:31:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6027,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,15:11:00,15:11:00,0,50,50,0
2024-06-01,Saturday,Saturday,Metro,6029,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,15:51:00,15:51:00,0,30,30,0
2024-06-01,Saturday,Saturday,Metro,6031,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,16:31:00,16:31:00,0,50,50,0
2024-06-01,Saturday,Saturday,Metro,6033,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,17:11:00,17:11:00,0,50,50,0
2024-06-01,Saturday,Saturday,Metro,6035,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,17:51:00,17:51:00,0,70,70,0
2024-06-01,Saturday,Saturday,Metro,6037,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,18:31:00,18:31:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6039,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,19:11:00,19:11:00,0,40,40,0
2024-06-01,Saturday,Saturday,Metro,6041,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,19:31:00,19:31:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6043,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,19:51:00,19:51:00,0,30,30,0
2024-06-01,Saturday,Saturday,Metro,6045,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,20:20:00,20:20:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6049,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,20:50:00,20:50:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6051,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,21:20:00,21:20:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6053,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,21:50:00,21:50:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6055,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,22:20:00,22:20:00,0,0,0,0
2024-06-01,Saturday,Saturday,Metro,6057,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,22:50:00,22:50:00,0,20,20,0
2024-06-01,Saturday,Saturday,Metro,6059,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,23:20:00,23:20:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6061,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,23:50:00,23:50:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6063,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,00:20:00,00:20:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6065,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,00:50:00,00:50:00,0,0,0,0
2024-06-01,Saturday,Saturday,Metro,6067,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,01:20:00,01:20:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6069,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,01:50:00,01:50:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6071,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,02:20:00,02:20:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6081,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,14,03:20:00,03:20:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6085,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,14,05:20:00,05:20:00,0,0,0,0
2024-06-01,Saturday,Saturday,Metro,7043,Sunbury,Northern,D,Flinders Street,Sunbury,Sunbury,-37.57909097,144.7273188,38279,15,17:59:00,17:59:00,0,10,10,0
2024-06-01,Saturday,Saturday,Metro,6000,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,23:59:00,23:59:00,10,0,0,10
2024-06-01,Saturday,Saturday,Metro,6002,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,00:36:00,00:36:00,10,0,0,10
2024-06-01,Saturday,Saturday,Metro,6080,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,01:36:00,01:36:00,10,0,0,10
2024-06-01,Saturday,Saturday,Metro,6082,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,02:36:00,02:36:00,0,0,0,0
2024-06-01,Saturday,Saturday,Metro,6084,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,03:36:00,03:36:00,0,0,0,0
2024-06-01,Saturday,Saturday,Metro,6600,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,04:36:00,04:36:00,10,0,0,10
2024-06-01,Saturday,Saturday,Metro,6602,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,05:06:00,05:06:00,0,0,0,0
2024-06-01,Saturday,Saturday,Metro,6606,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,05:36:00,05:36:00,10,0,0,10
2024-06-01,Saturday,Saturday,Metro,6608,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,06:16:00,06:16:00,10,0,0,10
2024-06-01,Saturday,Saturday,Metro,6610,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,06:56:00,06:56:00,10,0,0,10
2024-06-01,Saturday,Saturday,Metro,6612,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,07:36:00,07:36:00,30,0,0,30
2024-06-01,Saturday,Saturday,Metro,6614,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,08:16:00,08:16:00,30,0,0,30
2024-06-01,Saturday,Saturday,Metro,6616,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,08:56:00,08:56:00,30,0,0,30
2024-06-01,Saturday,Saturday,Metro,6618,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,09:36:00,09:36:00,50,0,0,50
2024-06-01,Saturday,Saturday,Metro,6620,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,10:16:00,10:16:00,50,0,0,50
2024-06-01,Saturday,Saturday,Metro,6622,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,10:56:00,10:56:00,60,0,0,60
2024-06-01,Saturday,Saturday,Metro,6624,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,11:36:00,11:36:00,50,0,0,50
2024-06-01,Saturday,Saturday,Metro,6626,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,12:16:00,12:16:00,30,0,0,30
2024-06-01,Saturday,Saturday,Metro,6628,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,12:56:00,12:56:00,20,0,0,20
2024-06-01,Saturday,Saturday,Metro,6630,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,13:36:00,13:36:00,30,0,0,30
2024-06-01,Saturday,Saturday,Metro,6632,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,4,14:16:00,14:16:00,20,0,0,20
2024-06-01,Saturday,Saturday,Metro,6634,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,14:56:00,14:56:00,40,0,0,40
2024-06-01,Saturday,Saturday,Metro,6636,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,15:36:00,15:36:00,30,0,0,30
2024-06-01,Saturday,Saturday,Metro,6638,Sunbury,Northern,U,Sunbury,Flinders Street,Sunbury,-37.57909097,144.7273188,38279,1,16:16:00,16:16:00,30,0,0,30
